Reference, Value, Footprint, Datasheet
U1,ED060SC4,,
U3,ESP32-WROOM,ESP32-footprints-Lib:ESP32-WROOM,
D2,LED_Small,,
D3,LED_Small,,
R13,470,,
R14,470,,
C5,100nF,,
U4,FT231XS,,
R9,0,,
R10,0,,
R11,0,,
R12,0,,
Q1,S8050,TO_SOT_Packages_THT:TO-92_Molded_Narrow,
Q2,S8050,TO_SOT_Packages_THT:TO-92_Molded_Narrow,
R1,12k,,
R2,12k,,
C2,100uF,,
C4,1uF,,
R3,12k,,
C1,1nF,,
R4,5k,,
R6,0,,
R7,0,,
R5,5k,,
U2,74LV4094,,
C3,100nF,,
Q3,MMUN2211,,
R8,100,,
D1,LED_Small,,
U8,LT1945,,
L3,22uH,,
Q5,IRLML6402,,
D7,SS24,,
C12,4u7,,
L1,22uH,,
R20,12k,,
R21,47k,,
C14,100nF,,
D9,SS24,,
R28,402k,,
C18,100pF,,
R29,38k3,,
C16,4p7,,
R24,402k,,
R25,36k,,
D5,SS24,,
U9,LT1945,,
L4,22uH,,
Q6,IRLML6402,,
D8,SS24,,
C13,4u7,,
L2,22uH,,
R22,12k,,
R23,47k,,
C15,100nF,,
D10,SS24,,
R30,470k,,
C19,100pF,,
R31,33k,,
C17,4p7,,
R26,560k,,
R27,33k,,
D6,SS24,,
W10,TEST_1P,,
W8,TEST_1P,,
W4,TEST_1P,,
W5,TEST_1P,,
W2,TEST_1P,,
W3,TEST_1P,,
W11,TEST_1P,,
W9,TEST_1P,,
W6,TEST_1P,,
W7,TEST_1P,,
Q4,IRLML6402,,
C9,4u7,,
C11,1uF,,
U5,LM358,,
RV1,100k,,
R15,200k,,
W1,TEST_1P,,
C8,100nF,,
U6,MCP73831,TO_SOT_Packages_SMD:SOT-23-5,https://www.adafruit.com/datasheets/MCP73831.pdf
J1,USB_A,,
R18,470,,
D4,LED_Small,,
R19,2k,,
BT1,3.7V Li-Ion,,
C10,4u7,,
R16,27,,
R17,27,,
C6,100nF,,
C7,4u7,,
U7,MCP1825S,,
